date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2013-09-30,45,140,63,4,65,2,39,94,7,39,3,212,10
2013-10-01,69,160,76,9,81,1,32,94,7,44,10,269,14
2013-10-02,68,169,58,3,67,0,21,112,5,28,3,205,4
2013-10-03,49,156,42,1,85,0,29,92,15,32,2,223,4
2013-10-04,65,156,39,3,85,2,30,99,16,31,8,203,7
2013-10-05,48,209,41,3,100,2,29,94,10,29,0,188,6
2013-10-06,41,155,31,5,95,1,28,79,6,28,3,167,2
2013-10-07,50,133,40,4,75,0,26,98,8,29,1,186,8
2013-10-08,55,129,47,3,66,2,31,104,13,34,4,191,7
2013-10-09,56,132,65,5,56,6,42,111,6,28,8,216,9
2013-10-10,53,134,45,2,74,1,30,101,12,24,3,237,5
2013-10-11,47,159,60,6,92,1,22,95,10,27,2,221,11
2013-10-12,49,147,41,2,98,0,29,67,10,41,3,217,5
2013-10-13,43,168,35,5,90,1,35,72,7,27,3,184,9
2013-10-14,44,121,47,2,86,1,25,95,8,29,0,193,9
2013-10-15,40,117,62,4,74,0,34,79,7,37,3,192,3
2013-10-16,43,109,56,3,76,3,32,115,10,38,6,184,10
2013-10-17,36,110,51,2,107,1,30,89,9,25,3,194,9
2013-10-18,41,134,54,2,86,0,21,100,8,30,5,234,12
2013-10-19,47,169,44,6,75,0,28,89,5,23,2,183,6
2013-10-20,47,185,48,3,92,0,37,68,6,36,2,178,4
2013-10-21,40,128,73,2,77,1,24,85,13,24,2,188,8
2013-10-22,44,108,64,3,79,0,24,99,9,32,0,170,4
2013-10-23,40,111,51,0,75,0,25,81,7,34,4,202,7
2013-10-24,51,123,58,5,80,0,37,80,7,27,1,182,6
2013-10-25,40,136,84,2,85,0,36,63,7,34,0,239,5
2013-10-26,37,148,46,7,99,2,42,30,5,34,0,205,5
2013-10-27,39,180,30,1,73,2,30,85,7,37,2,153,8
2013-10-28,51,139,48,3,109,3,28,88,16,27,3,199,12
2013-10-29,59,134,45,0,84,1,23,108,13,48,2,195,13
2013-10-30,67,129,51,0,78,0,34,79,7,38,1,205,3
2013-10-31,52,165,67,4,130,2,34,70,18,39,4,203,17
2013-11-01,48,148,53,7,107,1,42,99,4,48,4,237,7
2013-11-02,47,149,37,6,81,4,31,100,7,30,0,161,6
2013-11-03,57,147,31,2,90,2,35,90,5,33,1,187,3
2013-11-04,55,137,54,2,79,2,32,93,9,33,0,196,5
2013-11-05,40,134,52,5,79,0,25,106,7,22,3,221,10
2013-11-06,38,117,55,1,78,3,24,103,10,30,1,201,7
2013-11-07,45,117,49,3,70,0,30,85,7,27,4,202,5
2013-11-08,47,122,59,5,83,0,37,99,16,33,1,221,11
2013-11-09,44,143,38,5,93,0,22,80,5,29,1,194,9
2013-11-10,42,161,30,3,105,0,31,84,5,24,2,158,4
2013-11-11,38,84,49,1,68,2,24,89,2,35,0,168,8
2013-11-12,28,93,53,0,65,2,27,100,7,21,1,181,4
2013-11-13,37,88,59,3,77,1,27,105,3,47,3,221,5
2013-11-14,39,109,59,6,71,2,33,111,7,28,3,164,10
2013-11-15,54,134,59,6,91,1,40,93,6,34,0,261,11
2013-11-16,47,136,33,3,67,0,35,74,2,33,2,204,6
2013-11-17,22,174,32,6,91,0,26,78,3,33,4,162,4
2013-11-18,52,126,65,2,71,2,27,91,9,29,2,229,7
2013-11-19,52,118,70,1,60,0,30,102,7,33,3,207,8
2013-11-20,54,137,49,0,86,0,33,100,11,43,2,210,8
2013-11-21,48,137,61,6,87,1,22,86,8,45,3,233,10
2013-11-22,38,130,60,2,80,0,31,98,14,20,5,225,8
2013-11-23,32,141,25,6,82,2,29,78,1,23,2,149,7
2013-11-24,25,124,35,4,61,0,32,76,2,18,1,154,6
2013-11-25,27,107,58,1,52,1,22,82,2,19,2,175,7
2013-11-26,41,118,55,2,67,0,36,114,5,37,2,222,6
2013-11-27,36,86,59,1,73,1,30,94,8,22,2,201,4
2013-11-28,30,134,46,3,81,1,20,30,2,25,2,108,1
2013-11-29,50,101,50,4,83,0,37,99,6,40,1,203,6
2013-11-30,41,117,43,3,102,1,20,93,6,34,4,154,9
2013-12-01,45,147,35,9,76,2,31,89,4,28,8,208,4
2013-12-02,55,123,54,0,83,2,33,76,6,35,4,191,8
2013-12-03,49,125,72,2,83,1,23,106,6,36,0,207,6
2013-12-04,47,101,68,2,100,0,27,107,6,40,6,207,10
2013-12-05,49,125,44,0,60,0,32,72,6,33,3,211,6
2013-12-06,43,119,50,1,61,0,32,81,5,33,0,176,7
2013-12-07,40,109,33,3,77,0,29,66,1,23,1,162,7
2013-12-08,34,121,40,4,62,2,31,64,3,23,1,145,7
2013-12-09,33,92,46,2,57,0,31,51,6,29,1,178,7
2013-12-10,33,107,45,2,52,2,27,58,3,27,2,161,7
2013-12-11,30,102,44,3,42,1,34,85,7,29,0,156,6
2013-12-12,37,95,51,1,38,2,28,85,5,27,1,164,8
2013-12-13,41,131,49,2,67,0,42,76,9,34,3,204,10
2013-12-14,39,106,37,3,57,2,44,70,4,39,2,152,10
2013-12-15,31,141,29,0,61,2,34,69,6,30,0,128,4
2013-12-16,33,106,58,4,78,0,33,60,5,41,2,171,9
2013-12-17,46,121,50,0,70,0,31,99,6,36,3,177,7
2013-12-18,41,131,51,2,65,2,44,73,8,48,1,177,11
2013-12-19,36,130,61,5,70,5,32,93,9,40,2,183,6
2013-12-20,42,109,70,4,69,1,29,83,15,59,0,222,9
2013-12-21,31,135,41,4,104,3,32,72,5,46,0,209,9
2013-12-22,39,151,49,4,95,0,38,56,6,41,1,178,7
2013-12-23,24,93,63,4,66,3,37,47,4,32,2,185,8
2013-12-24,20,87,49,1,53,0,24,24,4,28,2,165,4
2013-12-25,33,129,21,2,52,2,26,12,3,24,1,62,3
2013-12-26,33,104,28,6,45,2,26,90,6,33,3,145,5
2013-12-27,25,101,41,1,76,1,39,99,6,32,3,189,6
2013-12-28,41,126,49,1,76,1,27,94,7,39,1,165,7
2013-12-29,45,172,28,1,70,0,36,70,1,39,2,146,2
2013-12-30,22,111,40,1,54,1,48,67,3,35,1,148,4
2013-12-31,25,90,42,3,43,1,24,35,5,36,1,149,14
2014-01-01,33,232,28,49,63,0,40,45,4,31,48,168,29
2014-01-02,24,79,19,3,50,0,17,53,3,29,0,101,8
2014-01-03,24,86,33,1,41,1,26,81,2,27,2,129,3
2014-01-04,32,118,26,2,52,0,18,69,6,24,0,137,8
2014-01-05,28,90,24,3,48,1,10,33,3,19,1,85,2
2014-01-06,20,59,23,0,30,1,13,27,2,11,0,82,1
2014-01-07,20,72,23,2,45,0,19,54,2,21,0,103,3
2014-01-08,30,88,41,2,53,1,14,83,2,21,0,133,3
2014-01-09,25,96,32,0,57,0,42,79,6,30,3,135,5
2014-01-10,32,107,42,2,61,0,28,56,5,24,2,157,5
2014-01-11,49,117,35,6,59,0,24,52,6,31,1,157,8
2014-01-12,39,150,26,1,68,1,27,83,7,16,1,147,5
2014-01-13,42,112,59,2,66,0,20,100,8,32,2,188,5
2014-01-14,47,102,50,2,63,0,31,76,5,27,3,149,10
2014-01-15,39,132,44,2,54,2,24,95,10,25,1,160,6
2014-01-16,40,110,47,2,59,1,22,83,9,25,1,173,8
2014-01-17,27,122,61,1,57,2,24,82,9,24,2,190,9
2014-01-18,29,114,31,4,74,1,30,89,9,28,2,132,9
2014-01-19,33,135,28,2,80,2,32,67,6,22,1,137,2
2014-01-20,32,107,46,2,66,0,34,72,5,32,3,172,9
2014-01-21,46,75,41,3,49,1,17,75,8,26,2,126,7
2014-01-22,37,103,42,0,54,2,17,75,5,28,2,140,6
2014-01-23,43,101,32,2,57,0,28,69,5,25,4,138,8
2014-01-24,25,87,53,0,55,0,30,84,8,34,1,178,5
2014-01-25,33,134,27,2,53,2,32,86,2,26,2,146,7
2014-01-26,37,123,37,2,67,1,24,63,6,20,2,112,4
2014-01-27,23,93,27,1,41,0,41,55,2,19,0,132,5
2014-01-28,23,81,23,2,55,0,37,89,5,32,0,109,7
2014-01-29,48,106,42,1,60,1,24,89,5,35,3,175,3
