date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-06-15,15,16,169,1,6,33,16,11,1,4,30,0,1,3,20,43,1,66,5,10,0,0,1,14,12,58,60,0,66,5
2006-06-16,6,37,117,5,5,17,12,14,0,1,25,0,0,3,15,23,1,81,5,7,0,3,0,10,12,50,74,2,66,5
2006-06-17,12,10,227,1,9,19,29,16,3,0,16,0,1,3,20,35,2,96,5,0,0,4,0,7,20,52,52,1,76,3
2006-06-18,13,23,194,4,2,23,15,6,0,2,6,0,0,0,26,36,0,72,4,0,1,4,0,6,10,31,32,0,79,2
2006-06-19,4,25,153,2,18,14,9,9,2,1,28,0,3,1,31,34,0,72,7,0,1,6,1,13,12,44,68,1,57,2
2006-06-20,9,23,252,2,12,29,6,13,2,1,40,1,0,1,30,46,1,75,5,6,0,4,1,4,15,52,77,1,68,3
2006-06-21,12,24,248,2,7,19,5,23,3,1,21,1,1,0,25,31,0,77,8,6,0,2,0,11,15,48,77,2,70,1
2006-06-22,16,18,220,2,11,20,7,7,0,3,40,0,0,0,31,30,1,87,5,6,2,2,0,11,10,44,64,2,68,4
2006-06-23,12,23,125,3,7,22,4,13,0,1,22,2,3,1,29,22,0,77,4,5,0,0,1,10,23,41,77,3,67,1
2006-06-24,16,17,143,0,8,27,21,10,0,1,19,0,0,1,26,21,0,72,1,4,0,1,1,17,21,42,45,3,72,8
2006-06-25,4,24,196,2,9,21,10,11,0,2,9,0,0,0,25,21,0,67,2,0,0,3,0,17,15,54,50,1,66,3
2006-06-26,14,20,145,2,14,31,9,9,6,1,28,0,1,1,39,40,1,59,8,0,0,2,0,12,22,54,55,0,72,5
2006-06-27,8,10,175,0,9,32,16,9,3,3,36,1,5,2,33,45,1,79,4,7,0,7,0,17,14,53,80,3,74,3
2006-06-28,10,20,197,0,9,25,14,7,2,2,22,0,1,1,30,29,4,64,9,4,0,4,0,19,14,57,55,6,59,2
2006-06-29,12,22,263,1,8,17,6,7,5,2,43,0,0,1,17,33,0,70,9,5,2,0,1,24,18,41,65,3,66,3
2006-06-30,14,21,220,3,8,21,10,14,4,2,36,0,0,0,15,54,1,80,4,5,1,1,0,14,25,37,60,5,61,6
2006-07-01,12,14,129,1,6,22,15,10,2,1,16,0,3,2,15,28,1,85,3,3,0,5,0,21,9,34,53,5,67,1
2006-07-02,12,17,158,1,7,22,11,10,1,0,9,1,1,0,24,25,0,69,4,0,0,4,0,18,15,44,54,1,71,7
2006-07-03,11,14,154,1,12,16,9,5,0,3,27,1,2,0,26,24,1,74,2,0,0,5,1,9,18,49,54,0,70,3
2006-07-04,11,23,108,1,3,24,8,14,0,1,8,0,0,0,22,30,0,75,3,0,0,5,0,19,14,32,43,3,77,6
2006-07-05,10,20,154,1,7,36,5,12,1,4,31,0,0,2,26,41,1,93,6,4,1,3,0,9,11,48,70,4,80,2
2006-07-06,5,22,129,1,6,29,4,13,6,2,44,1,3,0,31,45,1,79,4,7,0,4,0,14,13,52,55,2,67,6
2006-07-07,11,20,111,2,1,32,6,5,3,2,30,1,1,0,22,22,0,72,4,4,2,1,0,10,17,52,68,6,60,4
2006-07-08,11,26,152,1,5,21,24,13,1,1,20,1,1,2,26,25,0,57,2,3,0,6,0,13,14,46,62,2,69,6
2006-07-09,13,16,112,2,9,15,12,34,0,0,17,3,1,0,34,20,0,76,4,0,0,4,0,22,12,50,47,1,66,1
