date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2003-03-25,1,22,1,0,23,2,0,13,1,1,0,7,9,0,90,0,1,5,34,39,12,0,8,1,1,6,1,11,5,13,45,21,4
2003-03-26,0,41,0,0,13,1,0,20,2,1,0,7,12,0,79,2,0,7,29,55,19,0,8,2,0,3,0,14,3,14,41,32,4
2003-03-27,1,31,1,1,20,15,1,27,2,0,1,10,13,1,77,0,4,4,25,68,0,0,10,6,0,1,0,16,7,11,44,30,3
2003-03-28,1,34,0,1,22,0,0,34,2,1,0,5,18,1,92,0,0,3,35,37,11,0,10,3,0,1,1,7,3,21,52,22,2
2003-03-29,0,35,0,0,17,2,1,19,3,0,0,4,10,1,97,0,0,3,39,41,0,0,8,3,1,1,0,12,4,22,45,31,3
2003-03-30,1,38,0,0,18,2,1,30,3,1,0,0,5,1,70,2,0,11,21,32,0,0,19,1,0,2,0,11,4,25,60,14,0
2003-03-31,1,29,0,0,16,0,1,15,2,3,0,6,10,0,63,0,0,6,34,66,1,0,10,3,0,1,0,10,4,12,40,18,2
2003-04-01,0,36,2,1,25,4,0,44,2,4,0,10,26,0,84,5,1,8,37,67,9,0,9,3,2,3,0,11,2,23,51,27,4
2003-04-02,1,20,0,0,18,2,1,27,3,2,0,9,12,0,70,1,1,10,34,56,14,0,10,1,1,1,0,11,5,22,50,28,5
2003-04-03,1,22,3,0,16,0,2,40,1,2,0,8,10,0,73,0,3,7,33,63,2,0,13,1,2,3,0,9,6,17,49,24,4
2003-04-04,0,33,0,0,17,4,0,38,0,1,0,6,9,0,82,0,0,3,34,83,13,0,4,2,0,1,0,10,4,28,44,38,8
2003-04-05,0,35,1,0,13,4,0,18,2,2,0,3,6,1,92,0,0,4,31,38,0,0,11,2,1,0,0,8,4,25,63,20,3
2003-04-06,1,34,0,0,16,4,0,9,0,0,0,2,3,1,82,1,2,4,23,43,0,0,8,1,1,0,0,8,1,20,41,16,4
2003-04-07,1,24,1,0,15,3,0,6,0,0,0,7,11,0,69,0,1,6,25,39,2,0,7,2,0,2,1,13,6,11,43,21,5
2003-04-08,0,28,1,0,14,2,2,43,3,0,0,6,6,1,79,2,0,4,29,54,5,0,13,5,1,4,0,15,6,13,57,35,3
2003-04-09,1,32,0,0,27,5,3,42,0,0,1,9,9,0,82,0,0,9,33,56,12,0,4,6,0,1,0,10,9,9,54,37,4
2003-04-10,0,31,0,0,20,1,1,45,2,0,0,10,11,1,86,1,2,6,28,46,7,0,6,2,1,3,0,10,1,26,65,33,8
2003-04-11,3,37,0,0,23,3,3,35,0,1,0,8,9,0,95,0,1,3,44,64,34,0,9,5,1,1,0,10,4,18,57,31,4
2003-04-12,0,30,0,0,17,2,1,18,1,0,0,3,13,2,81,0,0,2,30,44,1,0,10,3,0,2,0,9,4,19,32,14,1
2003-04-13,0,25,0,0,19,2,2,29,5,1,0,9,9,3,75,1,0,5,26,43,0,0,14,4,2,2,0,9,4,17,40,22,4
2003-04-14,0,27,2,0,16,2,0,52,3,3,1,16,16,2,79,0,0,9,31,55,0,0,11,3,0,4,0,7,4,20,45,22,3
2003-04-15,1,31,0,0,17,2,0,38,2,1,0,12,10,1,76,3,0,5,33,58,8,0,9,4,1,2,0,15,6,22,46,31,3
2003-04-16,0,25,0,0,23,2,1,26,3,0,0,9,9,0,71,1,0,7,26,32,4,0,7,1,1,1,0,7,6,20,46,27,2
2003-04-17,0,23,0,0,20,2,0,30,2,2,0,6,16,0,69,1,0,7,26,45,9,0,10,1,2,4,0,13,13,17,37,30,1
2003-04-18,0,24,0,0,21,2,0,23,2,2,1,6,12,2,87,0,0,7,28,50,14,0,11,1,0,2,0,11,2,23,61,16,2
2003-04-19,0,30,0,0,23,0,1,16,2,0,0,2,4,1,78,0,0,0,30,38,0,0,15,4,0,0,0,5,6,23,41,20,5
2003-04-20,0,30,0,0,19,1,2,15,2,0,0,8,7,0,85,0,0,6,34,37,0,0,11,6,1,3,1,5,2,13,37,19,1
2003-04-21,0,26,0,0,12,2,1,19,2,1,1,7,8,1,66,0,0,3,30,41,0,0,15,3,5,2,0,11,1,11,59,20,1
2003-04-22,0,27,3,0,13,2,0,42,1,0,0,6,15,2,91,1,1,2,27,57,4,0,6,2,1,3,0,7,2,12,40,30,7
2003-04-23,0,34,0,0,26,3,0,54,1,2,0,3,16,0,79,6,0,7,38,64,4,0,7,5,1,2,0,13,2,18,43,49,6
2003-04-24,1,25,0,0,15,0,0,30,4,1,0,9,11,0,63,1,1,5,29,54,19,0,9,7,1,5,0,10,11,12,45,26,0
2003-04-25,0,20,0,0,17,0,0,23,3,1,0,7,17,2,96,2,1,7,21,55,8,0,7,1,3,3,1,15,3,11,56,25,1
2003-04-26,1,34,0,0,17,2,2,24,4,1,0,1,11,0,92,0,2,4,28,89,0,0,10,4,0,2,0,10,3,24,43,22,7
2003-04-27,0,23,0,0,20,1,2,18,2,0,1,6,6,0,67,0,0,3,23,34,0,0,8,1,0,2,0,7,1,18,45,17,1
2003-04-28,1,34,0,0,21,2,1,23,1,3,0,13,10,2,71,0,0,2,39,40,2,0,10,1,2,1,0,5,5,13,49,19,3
2003-04-29,3,35,0,0,19,7,0,35,2,1,0,8,8,0,62,4,0,5,21,53,10,0,7,1,0,5,0,15,3,10,52,32,3
2003-04-30,0,35,1,1,16,1,0,38,1,0,0,10,7,0,61,1,0,4,21,53,8,0,7,3,2,2,2,17,7,21,49,21,1
2003-05-01,1,48,0,0,14,2,2,34,2,6,0,14,14,1,68,0,0,4,48,76,13,0,9,5,2,4,0,23,3,21,33,26,1
2003-05-02,1,44,0,0,24,1,0,22,6,1,0,11,7,0,72,2,0,7,32,47,13,0,8,6,3,3,0,10,3,17,48,30,2
2003-05-03,0,35,0,0,10,0,0,22,2,2,0,3,11,0,64,1,0,3,31,37,0,0,6,3,0,0,0,8,5,18,40,20,0
2003-05-04,0,39,1,0,13,2,0,24,1,0,0,2,7,1,57,0,0,5,26,38,1,0,7,2,0,1,1,14,2,22,32,22,3
2003-05-05,2,28,0,0,15,4,1,25,1,2,1,13,11,0,50,1,0,9,33,56,2,0,5,3,5,1,0,10,2,22,41,29,2
2003-05-06,0,26,0,0,15,2,3,48,1,0,0,5,5,1,71,4,0,8,19,66,11,0,6,1,2,1,0,7,5,11,32,52,6
2003-05-07,0,23,0,0,19,4,1,35,5,0,0,9,15,0,63,0,1,5,31,43,3,0,5,1,4,4,0,13,6,14,40,35,1
2003-05-08,0,23,0,0,22,3,1,44,2,1,0,15,8,0,74,1,0,10,26,67,13,0,6,3,0,5,0,15,0,15,41,30,2
2003-05-09,2,28,0,0,24,4,1,23,2,0,0,8,7,0,76,0,1,8,27,60,18,0,6,3,1,0,0,9,7,15,53,23,1
2003-05-10,2,41,0,0,13,2,3,17,3,1,0,3,10,0,77,1,0,6,41,33,0,0,9,3,2,0,1,9,5,18,33,15,3
2003-05-11,1,32,0,0,18,1,0,13,4,2,1,1,4,0,52,0,0,4,28,48,1,0,10,3,0,1,0,11,3,21,37,17,0
2003-05-12,0,34,0,0,19,1,0,19,2,1,1,12,17,1,75,0,0,6,37,62,0,0,3,5,3,3,0,10,1,19,57,27,3
2003-05-13,1,28,0,0,16,1,0,51,0,1,0,3,7,1,70,0,0,6,35,71,5,0,15,2,1,2,1,13,5,26,52,20,6
2003-05-14,0,32,0,0,23,6,2,49,4,0,1,9,8,1,53,0,0,3,36,59,15,0,14,2,1,3,0,8,1,25,52,34,3
2003-05-15,4,29,1,0,21,9,1,33,5,1,0,11,11,0,68,1,1,6,24,55,2,0,9,3,2,3,0,14,3,24,44,35,4
2003-05-16,0,23,1,0,32,0,0,30,2,1,0,9,11,0,77,2,1,6,32,56,0,0,3,3,0,2,0,20,18,17,41,24,6
2003-05-17,1,30,0,0,10,0,1,20,4,0,0,7,6,0,65,0,0,4,27,32,0,0,14,1,2,2,1,13,4,16,27,21,3
2003-05-18,1,30,0,0,12,1,1,17,1,0,0,2,8,0,82,1,0,0,30,45,0,0,10,6,1,3,0,8,2,11,62,19,4
2003-05-19,2,28,0,0,16,7,1,16,1,1,0,11,12,1,76,0,0,3,27,40,6,0,8,4,4,0,0,15,2,13,36,25,6
2003-05-20,0,24,2,0,23,1,0,29,3,1,0,4,9,0,72,2,1,2,30,61,26,0,8,3,1,3,0,16,3,9,31,17,3
