crime_type,trigger,lag,trigger_family_class,epoch,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,cities
ASSAULT,PHASE_Syzygy,-1,PHASE,PRE,2,0.07398088621744854,-0.766261818561029,0.9142235909959262,0.0661285350116606,0.4643582996768338,0.006080209472745793,3.270418786611958,0.07053961427527058,69.42287623549382,chicago;sf
ASSAULT,PHASE_Syzygy,0,PHASE,PRE,2,0.08114952692867586,-0.5289226599098351,0.6912217137671868,0.04801372238944572,0.3401280038657679,0.001955873787646765,1.7303788984119068,0.18836251596158876,42.20918892863454,chicago;sf
ASSAULT,PHASE_Syzygy,1,PHASE,PRE,2,-0.022927297104823614,-0.4843074100624319,0.43845281585278467,0.036311402383963465,0.641459693132828,0.0,0.8123353687065278,0.36743069781572324,0.0,chicago;sf
ASSAULT,PHASE_Syzygy,WIN3,PHASE,PRE,2,0.045819052822199925,-0.5766660644884753,0.6683041701328751,0.04899064120428058,0.521288363450312,0.0037283415134412323,4.466854261018626,0.03455856115677035,77.61288052921702,chicago;sf
ASSAULT,PHASE_Syzygy,-1,PHASE,PRE2014,2,0.07907380211958179,-0.7031846336577197,0.8613322378968833,0.061565074072382674,0.4211502034456673,0.004102539092921076,2.1763852499079857,0.14014327696405227,54.052252465767324,chicago;sf
ASSAULT,PHASE_Syzygy,0,PHASE,PRE2014,2,0.0948354313506873,-0.7692833841773203,0.9589542468786949,0.06800762567994417,0.3960529020510152,0.005769812181354037,2.6541759571368733,0.10327826555975782,62.32352277507911,chicago;sf
ASSAULT,PHASE_Syzygy,1,PHASE,PRE2014,2,-0.019597565044905098,-0.5485237708739962,0.509328640784186,0.04162739518217567,0.7198848215597943,0.0,0.9933241019873253,0.318931289839536,0.0,chicago;sf
ASSAULT,PHASE_Syzygy,WIN3,PHASE,PRE2014,2,0.05260404185881942,-0.6697271128983694,0.7749351966160082,0.05684869477083678,0.5246761900074709,0.005064575519268383,4.615566982554596,0.031683019465017136,78.33418941205515,chicago;sf
ASSAULT,WAVE_after_quadrature,-1,WAVE,PRE,2,-0.052397105840159566,-0.5053775041533529,0.40058329247303376,0.03565033050462166,0.3803430819198728,0.0,0.9167625041125855,0.3383264712830687,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,0,WAVE,PRE,2,-0.03360504412722448,-0.4865656126255574,0.41935552437110846,0.03564876986434616,0.5187816185489265,0.0,0.007163892272575826,0.9325477730587978,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,1,WAVE,PRE,2,0.051710655724958324,-0.4012684957082754,0.504689807158192,0.03565023237304063,0.38425622572645074,0.0,0.8358233087305155,0.360594045300064,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,WIN3,WAVE,PRE,2,-0.013370023321419466,-0.2962065263157351,0.26946647967289616,0.022259715537508027,0.6556598570692032,0.0,0.0006631688097010705,0.9794550963943088,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,-1,WAVE,PRE2014,2,-0.048454463290664475,-0.567444207949704,0.47053528136837497,0.040845378728311905,0.4458854467247454,0.0,0.6270627871390193,0.4284347541314891,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,0,WAVE,PRE2014,2,-0.03284798694457574,-0.551819377206226,0.48612340331707454,0.04084393420590967,0.5688072864940441,0.0,0.04593216689649231,0.830299151709998,0.0,chicago;sf
ASSAULT,WAVE_after_quadrature,1,WAVE,PRE2014,2,0.06481222829991169,-0.5852182336912412,0.7148426902910646,0.05115850684566268,0.4253915412680155,0.0018902832132710998,1.5631441275995537,0.21120545273067784,36.02637259459544,chicago;sf
ASSAULT,WAVE_after_quadrature,WIN3,WAVE,PRE2014,2,-0.006983921630164805,-0.33106924812341926,0.31710140486308963,0.025506068351316184,0.829854852514963,0.0,0.02316482402695303,0.8790292353497693,0.0,chicago;sf
ASSAULT,WAVE_after_syzygy,-1,WAVE,PRE,2,0.016130367925810796,-0.43682416187029927,0.46908489772192086,0.03564829460817422,0.7294877299378311,0.0,0.023599576154184655,0.8779081556695414,0.0,chicago;sf
ASSAULT,WAVE_after_syzygy,0,WAVE,PRE,2,-0.021854927931110338,-0.7118705479106318,0.6681606920484111,0.054305407026935565,0.7564215253747344,0.0033342331742519703,2.29182977024607,0.13005651917487668,56.36674185043719,chicago;sf
ASSAULT,WAVE_after_syzygy,1,WAVE,PRE,2,0.012255421637110875,-0.44070540977570866,0.46521625304993036,0.035648790556165,0.7891993265086596,0.0,0.8039385899215458,0.3699183986152713,0.0,chicago;sf
ASSAULT,WAVE_after_syzygy,WIN3,WAVE,PRE,2,0.001328680289899375,-0.45446916963035394,0.45712653021015265,0.03587206875498855,0.9764307531621861,0.001573266791353911,2.563464280217336,0.10935870934439551,60.99028928481041,chicago;sf
ASSAULT,WAVE_after_syzygy,-1,WAVE,PRE2014,2,0.019345754174113577,-0.49999410685458656,0.5386856152028137,0.040872933484190875,0.7185680561830305,0.0,0.013195247614136565,0.9085477132059836,0.0,chicago;sf
ASSAULT,WAVE_after_syzygy,0,WAVE,PRE2014,2,-0.006205316670085116,-0.8400269060742196,0.8276162727340493,0.06562318227199224,0.9399798121771921,0.005258773252944715,2.5641914293733015,0.10930843331172642,61.001351593925115,chicago;sf
