family,trigger,lag,trigger_family_class,epoch,is_primary,k_meta,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,TIER,tier_notes,city_details
AGGRESSION_TOTAL,PHASE_LastQ,1,PHASE,PRE2014,True,5,5,0.02079101524399007,-0.07430836663352196,0.1158903971215021,0.03425221038927654,0.5766202485087198,0.0,3.4341651859297224,0.4879590139838291,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.127, 0.104] PHILLY[0.081] CHICAGO[0.081, -0.001] NYC[-0.015, -0.085] SF[-0.066]"
AGGRESSION_TOTAL,PHASE_LastQ,WIN3,PHASE,PRE2014,True,5,5,0.0189969060313516,-0.03879062854163133,0.07678444060433454,0.020813497974369658,0.41302467240646007,0.0,3.8798403395797787,0.4225118682948933,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.080, -0.021] PHILLY[0.077] CHICAGO[0.044, 0.034] SF[0.008] NYC[-0.037, -0.075]"
AGGRESSION_TOTAL,PHASE_New,-1,PHASE,POST,True,4,4,0.09603984041239606,-0.08361171955593115,0.27569140038072326,0.05645077488661049,0.18744244893012613,0.0,0.8704198204539655,0.8325596734611852,0.0,N/A,Secondary trigger or non-PRE epoch,"LA[0.200, 0.111] NYC[0.198, 0.005] CHICAGO[0.177, 0.108] PHILLY[0.098, -0.042]"
AGGRESSION_TOTAL,PHASE_New,0,PHASE,POST,True,4,4,0.12212203540254217,-0.057540498356717554,0.3017845691618019,0.05645422311161724,0.11921551591961389,0.0,0.25904083085089047,0.9675382545962833,0.0,N/A,Secondary trigger or non-PRE epoch,"CHICAGO[0.227, 0.039] NYC[0.220, 0.118] PHILLY[0.155, 0.025] LA[0.137, 0.084]"
AGGRESSION_TOTAL,PHASE_New,1,PHASE,POST,True,4,4,0.06047846248321044,-0.11916160432308238,0.24011852928950328,0.056447163462903106,0.36251275650646614,0.0,0.8036322253317424,0.848598057156157,0.0,N/A,Secondary trigger or non-PRE epoch,"CHICAGO[0.140, 0.078] NYC[0.136, -0.175] PHILLY[0.090, 0.061] LA[0.016, -0.021]"
AGGRESSION_TOTAL,PHASE_New,WIN3,PHASE,POST,True,4,4,0.09273080044082124,-0.01650664310703398,0.20196824398867647,0.034324991867568336,0.07368905240639645,0.0,0.593058920554201,0.8980195204337019,0.0,N/A,Secondary trigger or non-PRE epoch,"CHICAGO[0.180, 0.075] NYC[0.150, 0.016] LA[0.119, 0.058] PHILLY[0.105, 0.025]"
AGGRESSION_TOTAL,PHASE_New,-1,PHASE,PRE,True,5,5,0.004408325994148063,-0.14660149816536225,0.15541815015365837,0.054389630782472144,0.9392949108495462,0.009922243172599671,12.940593795132203,0.011569740648500164,69.08951734885103,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.187] CHICAGO[0.085, 0.004] NYC[0.003, -0.011] PHILLY[-0.046] LA[-0.109, -0.198]"
AGGRESSION_TOTAL,PHASE_New,0,PHASE,PRE,True,5,5,0.0721174276028604,-0.00517710613784747,0.14941196134356827,0.02783938843091273,0.060653107788181254,6.004138547839934e-05,3.0864730141724244,0.5434600817333588,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"CHICAGO[0.153, 0.098] SF[0.107] NYC[0.096, -0.073] PHILLY[0.064] LA[0.030, 0.020]"
AGGRESSION_TOTAL,PHASE_New,1,PHASE,PRE,True,5,5,0.02268842563120547,-0.07772360892337228,0.12310046018578323,0.03616568336488837,0.5644627886039046,0.002223887325593289,6.348499880653538,0.17458994025706812,36.99298928571098,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.222, 0.037] PHILLY[0.108] CHICAGO[0.087, -0.099] NYC[-0.038, -0.049] SF[-0.047]"
AGGRESSION_TOTAL,PHASE_New,WIN3,PHASE,PRE,True,5,5,0.03204388535443488,-0.015836660172404052,0.07992443088127381,0.017245270017117027,0.1366967229303719,7.110357485204583e-05,3.9987692812012594,0.40617243501056544,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.082] CHICAGO[0.081, 0.027] LA[0.044, -0.044] PHILLY[0.042] NYC[0.012, -0.036]"
AGGRESSION_TOTAL,PHASE_New,-1,PHASE,PRE2014,True,5,5,-0.027742091521878485,-0.20728343812255487,0.1517992550787979,0.06466590903042023,0.6900141972893515,0.013612703143213575,12.016499626327807,0.01722899061230468,66.71243603057154,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.159] CHICAGO[0.098, 0.009] NYC[-0.022, -0.074] PHILLY[-0.127] LA[-0.186, -0.248]"
AGGRESSION_TOTAL,PHASE_New,0,PHASE,PRE2014,True,5,5,0.08867161894294107,-0.006283218056877385,0.1836264559427595,0.03420014925634689,0.0605098311881715,0.0,0.6255772961827344,0.9601794984639431,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.140] LA[0.121, 0.006] CHICAGO[0.114, 0.076] NYC[0.100, 0.042] PHILLY[0.055]"
AGGRESSION_TOTAL,PHASE_New,1,PHASE,PRE2014,True,5,5,0.02611580085867835,-0.06883954397133003,0.12107114568868672,0.03420033216296693,0.4876530337671509,0.0,3.2785633506900296,0.5123358623340233,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.301, 0.014] PHILLY[0.083] CHICAGO[0.059, -0.101] NYC[0.028, 0.018] SF[-0.013]"
AGGRESSION_TOTAL,PHASE_New,WIN3,PHASE,PRE2014,True,5,5,0.03537751975676151,-0.022328619908247693,0.09308365942177071,0.02078418174268139,0.16394393687176928,0.0,2.2295511545314053,0.6936228705042442,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.095] CHICAGO[0.061, 0.024] LA[0.057, -0.056] NYC[0.016, 0.015] PHILLY[0.003]"
AGGRESSION_TOTAL,PHASE_Quadrature,-1,PHASE,POST,True,4,4,-0.07286618343736381,-0.20421032515706675,0.05847795828233912,0.04127143999306879,0.17565390309281484,0.0,0.49517703313359895,0.9199497116700996,0.0,N/A,Secondary trigger or non-PRE epoch,"PHILLY[0.053, -0.177] LA[0.032, -0.196] CHICAGO[-0.038, -0.063] NYC[-0.119, -0.141]"
AGGRESSION_TOTAL,PHASE_Quadrature,0,PHASE,POST,True,4,4,-0.023162711227902102,-0.1626661438078421,0.11634072135203792,0.04383528242041441,0.6338141963501362,0.00022585346169794722,3.387794654807058,0.3356089933907712,11.44681700990356,N/A,Secondary trigger or non-PRE epoch,"NYC[0.242, -0.107] CHICAGO[0.058, 0.000] PHILLY[-0.066, -0.090] LA[-0.124, -0.199]"
AGGRESSION_TOTAL,PHASE_Quadrature,1,PHASE,POST,True,4,4,-0.03297878811371755,-0.16359863687117207,0.09764106064373698,0.041043849990671656,0.48045331613453685,0.0,1.3033920445452072,0.7283277596863837,0.0,N/A,Secondary trigger or non-PRE epoch,"LA[0.280, -0.116] NYC[0.010, -0.108] CHICAGO[-0.012, -0.029] PHILLY[-0.036, -0.112]"
AGGRESSION_TOTAL,PHASE_Quadrature,WIN3,PHASE,POST,True,4,4,-0.0424719174090522,-0.12540985927802,0.0404660244599156,0.026061065580668015,0.20165443751836987,0.0,0.8665164281624496,0.8334997074771594,0.0,N/A,Secondary trigger or non-PRE epoch,"LA[0.036, -0.145] CHICAGO[0.003, -0.030] NYC[-0.001, -0.071] PHILLY[-0.017, -0.125]"
AGGRESSION_TOTAL,PHASE_Quadrature,-1,PHASE,PRE,True,5,5,0.017382782094133704,-0.03828574123463076,0.07305130542289817,0.02005028776709725,0.4348753678542712,0.0,2.140580979461722,0.7099210167875428,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"CHICAGO[0.072, 0.028] PHILLY[0.030] NYC[0.022, -0.027] SF[0.019] LA[-0.008, -0.050]"
AGGRESSION_TOTAL,PHASE_Quadrature,0,PHASE,PRE,True,5,5,0.022592767625677905,-0.03307495870053331,0.07826049395188912,0.020050000708458218,0.32284043104412935,0.0,0.7306227658811946,0.9474995083205994,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"NYC[0.065, 0.022] LA[0.041, 0.028] SF[0.035] PHILLY[0.011] CHICAGO[0.008, -0.002]"
AGGRESSION_TOTAL,PHASE_Quadrature,1,PHASE,PRE,True,5,5,0.02867286527943374,-0.06640342588721285,0.12374915644608031,0.034243893743353224,0.44952791335361375,0.0032251688192835313,9.700753212648165,0.04578171195014447,58.76608844368222,NULL,p_meta ≥ 0.05 or k_cities < 2,"PHILLY[0.135] NYC[0.089, 0.058] CHICAGO[0.052, 0.022] LA[-0.001, -0.116] SF[-0.041]"
AGGRESSION_TOTAL,PHASE_Quadrature,WIN3,PHASE,PRE,True,5,5,0.023059139496657992,-0.012215502340552457,0.05833378133386844,0.01270496642313316,0.1437145184499532,0.0,3.5429057499024283,0.47138449110871883,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"PHILLY[0.058] NYC[0.044, 0.032] CHICAGO[0.034, 0.026] SF[0.004] LA[-0.004, -0.032]"
AGGRESSION_TOTAL,PHASE_Quadrature,-1,PHASE,PRE2014,True,5,5,0.01858025274428336,-0.05034711629236967,0.08750762178093639,0.024825763314251636,0.49580944078975114,0.0,1.2778520524914,0.8651218966719079,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.089, -0.019] CHICAGO[0.041, 0.039] NYC[0.030, -0.012] SF[0.018] PHILLY[-0.049]"
