family,trigger,epoch,lag,city,crime_type,g,var_g,n_target,n_ctrl,p_mw,p_mw_fdr
AGGRESSION_TOTAL,PHASE_Full,POST,-1,philly,Aggravated Assault Firearm,0.1715008233105373,0.0185477673596792,57,1010,0.2976437443328921,0.7492694099588395
AGGRESSION_TOTAL,PHASE_Full,POST,-1,philly,Aggravated Assault No Firearm,0.2375606319748822,0.0185604539894765,57,1010,0.0563841127923197,0.6301738300814841
AGGRESSION_TOTAL,PHASE_Full,POST,-1,nyc,ASSAULT 3 & RELATED OFFENSES,-0.0302709257690669,0.0341004861291217,31,543,0.7901484290873335,0.9493785093853168
AGGRESSION_TOTAL,PHASE_Full,POST,-1,nyc,FELONY ASSAULT,0.1435069527945535,0.03411768710513,31,543,0.2405586342245955,0.9493785093853168
AGGRESSION_TOTAL,PHASE_Full,POST,-1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.0641546303297683,0.0586385135541688,18,325,0.6072326123154699,0.9740675785515608
AGGRESSION_TOTAL,PHASE_Full,POST,-1,la,BATTERY - SIMPLE ASSAULT,0.1489797409971719,0.0586650225668299,18,325,0.4126332463620862,0.9150608790871732
AGGRESSION_TOTAL,PHASE_Full,POST,0,chicago,ASSAULT,0.0095006566658025,0.0185369508049652,57,1007,0.7653964386618448,0.966749405975012
AGGRESSION_TOTAL,PHASE_Full,POST,0,chicago,BATTERY,0.1440332864132143,0.0185466755343051,57,1007,0.2274709670150804,0.9448794014472572
AGGRESSION_TOTAL,PHASE_Full,POST,0,philly,Aggravated Assault Firearm,-0.1337609781961038,0.0185423586586895,57,1010,0.3619707358931888,0.94177918939289
AGGRESSION_TOTAL,PHASE_Full,POST,0,philly,Aggravated Assault No Firearm,0.0753354438614742,0.0185366231797288,57,1010,0.4086041277935872,0.94177918939289
AGGRESSION_TOTAL,PHASE_Full,POST,0,nyc,ASSAULT 3 & RELATED OFFENSES,-0.1585539803607278,0.0341216601114131,31,543,0.5838125896703344,0.982732007413211
AGGRESSION_TOTAL,PHASE_Full,POST,0,nyc,FELONY ASSAULT,-0.1380897805354315,0.0341163536628118,31,543,0.6085155770044037,0.982732007413211
AGGRESSION_TOTAL,PHASE_Full,POST,0,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.0220195657497391,0.0586331895727657,18,325,0.9698072611882288,0.9788708804516704
AGGRESSION_TOTAL,PHASE_Full,POST,0,la,BATTERY - SIMPLE ASSAULT,0.3366179968926397,0.0587986247847249,18,325,0.1121785978894006,0.8811722703047953
AGGRESSION_TOTAL,PHASE_Full,POST,1,chicago,ASSAULT,0.3569291070463202,0.0185968887169143,57,1007,0.0135422394445456,0.7312809300054666
AGGRESSION_TOTAL,PHASE_Full,POST,1,chicago,BATTERY,0.0642941546234689,0.0185388545129886,57,1007,0.6809544872669296,0.937297560637482
AGGRESSION_TOTAL,PHASE_Full,POST,1,philly,Aggravated Assault Firearm,0.2493678397587568,0.0185631531752237,57,1010,0.0743300686614914,0.9713150103388364
AGGRESSION_TOTAL,PHASE_Full,POST,1,philly,Aggravated Assault No Firearm,0.1171245864196797,0.0185403991138331,57,1010,0.2717980650330049,0.9713150103388364
AGGRESSION_TOTAL,PHASE_Full,POST,1,nyc,ASSAULT 3 & RELATED OFFENSES,-0.0419028867544457,0.034101219977873,31,543,0.8717372235193108,0.9840183501163888
AGGRESSION_TOTAL,PHASE_Full,POST,1,nyc,FELONY ASSAULT,0.2306047694230646,0.0341461698972456,31,543,0.3718580235500629,0.9840183501163888
AGGRESSION_TOTAL,PHASE_Full,POST,1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.1136061258403371,0.0586514029020218,18,325,0.6879058403717927,0.8384661063695715
AGGRESSION_TOTAL,PHASE_Full,POST,1,la,BATTERY - SIMPLE ASSAULT,0.1617871967839294,0.0586708585401666,18,325,0.4454015581607873,0.7780050308619283
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,chicago,ASSAULT,0.0944464431697393,0.0068447944483042,171,1007,0.1262683673087333,0.6818491834671598
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,chicago,BATTERY,0.0647753035522862,0.0068427858213156,171,1007,0.37986209339608,0.8205021217355327
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,philly,Aggravated Assault Firearm,0.0952550554100876,0.0068419002015005,171,1010,0.2934142443887748,0.8002206665148406
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,philly,Aggravated Assault No Firearm,0.14333981499611,0.0068467656709585,171,1010,0.0353793531568476,0.4245522378821717
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,nyc,ASSAULT 3 & RELATED OFFENSES,-0.0775740970870971,0.012599054650354,93,543,0.8079375317683619,0.9886921063601928
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,nyc,FELONY ASSAULT,0.0780384888588016,0.0125991116418402,93,543,0.3938593892868202,0.9886921063601928
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.0238955856896312,0.0215961988885655,54,325,0.9684347140864762,0.9684347140864764
AGGRESSION_TOTAL,PHASE_Full,POST,WIN3,la,BATTERY - SIMPLE ASSAULT,0.2175893017298624,0.0216582335108624,54,325,0.0813060292818378,0.6836337947498207
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,chicago,ASSAULT,-0.0642326163393754,0.0044605530817706,237,4155,0.2870147267305165,0.9830108660848784
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,chicago,BATTERY,-0.0351079313152949,0.0044602235530508,237,4155,0.3862294407724013,0.9830108660848784
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,philly,Aggravated Assault No Firearm,0.021182457572859,0.0060397697335854,175,3073,0.5234453707495705,0.991139629721948
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,nyc,ASSAULT 3 & RELATED OFFENSES,-0.115627792970994,0.0070478522833504,150,2640,0.3214388651839426,0.9849486623307108
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,nyc,FELONY ASSAULT,0.0157896087407026,0.0070454992570299,150,2640,0.6254278783404714,0.9849486623307108
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.1317724054784056,0.0084570369298903,125,2206,0.2159225568774276,0.969858957584693
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,la,BATTERY - SIMPLE ASSAULT,0.059203239024075,0.0084540616307631,125,2206,0.6547952288393184,0.9706733365914162
AGGRESSION_TOTAL,PHASE_Full,PRE,-1,sf,ASSAULT,0.0986679000818475,0.0057142306211107,185,3253,0.0670030247960622,0.7370332727566846
AGGRESSION_TOTAL,PHASE_Full,PRE,0,chicago,ASSAULT,-0.0250579078726429,0.0044601546842473,237,4155,0.8130590837275283,0.9558627820816846
AGGRESSION_TOTAL,PHASE_Full,PRE,0,chicago,BATTERY,-0.0087379729331821,0.0044600918657307,237,4155,0.7592207391483795,0.9558627820816846
AGGRESSION_TOTAL,PHASE_Full,PRE,0,philly,Aggravated Assault No Firearm,0.010544739659135,0.0060397177457582,175,3073,0.8734132862916553,0.9788429574692412
AGGRESSION_TOTAL,PHASE_Full,PRE,0,nyc,ASSAULT 3 & RELATED OFFENSES,-0.0207285309507843,0.0070455316028425,150,2640,0.9696201209384347,0.997048580413992
AGGRESSION_TOTAL,PHASE_Full,PRE,0,nyc,FELONY ASSAULT,-0.110285267592934,0.0070476358295736,150,2640,0.0759618138148061,0.9612763501947104
