city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,g_lo,g_hi,qp_coef,qp_p,model_disagree,p_perm_14,p_perm_28,p_perm_circ,slice_g_1,slice_g_2,slice_g_3,slice_g_4,slice_g_5,slice_sign_frac,slice_g_iqr,n_slices_valid,g_placebo_mean,p_placebo_emp,argmax_lag,status_flag,config_hash
nyc_ems,PRE2014,ABDPN,PHASE_LastQ,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,124,2167,0.09772004571671451,0.008528069486212582,0.28783568860628717,0.9990533220984475,0.8999208344408371,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_LastQ,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,372,2167,0.01920224828480482,0.003149712179309819,0.850831757245721,0.9934486500385621,0.17737477300887594,-0.09059282731342143,0.13181386613875112,0.002461320119426444,0.6330640315892624,0.0,0.76,0.735,0.706,0.08462115509552101,0.004806081513693034,0.06989600913513938,0.10569335864176188,-0.1771953415878599,0.8,0.07981507358182797,5.0,0.003583051089156837,0.735,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_event,WAVE,-1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,988,2664,0.01247204389126266,0.001387542432839781,0.4864844564685986,0.9982242650502056,0.18640256624427032,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_event,WAVE,0,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,988,2664,0.007854071100789678,0.0013875295745595113,0.9223669366572658,0.9984541737171203,0.1173446633765618,-0.06622167093004898,0.08694236665649556,0.003000478026280791,0.623420031343259,0.0,0.819,0.835,0.824,-0.04929773620947229,0.06808413686876692,0.12591891262403554,-0.11348420300121308,-0.00045510411070776523,0.4,0.11738187307823922,5.0,0.0013706546355050572,0.795,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_event,WAVE,1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,988,2664,0.02785758577555184,0.0013876274319091532,0.4483133043578901,0.996559298397828,0.4168023631885731,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_event,WAVE,WIN3,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,2964,688,0.06220593753427116,0.00179140036769142,0.1232392659557986,0.9938108278784371,0.9329056027058913,-0.01997920637684793,0.14206982862384973,0.012950027401579703,0.06781419557359795,0.0,0.14,0.147,0.153,0.12711894019864148,0.0578869200422397,0.12410522410697095,0.1246686786646793,-0.13626049387319272,0.8,0.0667817586224396,5.0,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_syzygy,WAVE,-1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,-0.007207652402807696,0.002340954725911695,0.8075088920911273,0.9982242650502056,-0.10756607121297224,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_syzygy,WAVE,0,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,-0.02429675111884687,0.002341028476851664,0.5557434289877459,0.9984541737171203,-0.36212802117021603,-0.11903646510715948,0.06625387540899291,-0.0024874057031284494,0.7651953503366995,0.0,0.568,0.591,0.605,-0.09153766228731253,-0.023712322911377155,0.06769612694747837,-0.017402919053498635,-0.059608346857569106,0.8,0.04220542780407047,5.0,-0.005434830295773907,0.63,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_syzygy,WAVE,1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,0.0645545817713657,0.0023415184716342316,0.09306077999945561,0.996559298397828,0.9683490484231561,,,,,,,,,,,,,,,,,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_syzygy,WAVE,WIN3,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,1482,2170,0.016025914107701437,0.0011356285079273582,0.3528512644881654,0.9938108278784371,0.2395772315842537,-0.04532912587677047,0.079805936327368,0.004124417234327122,0.5532818315892196,0.0,0.644,0.631,0.514,0.04635688645076539,-0.0029125121346630445,-0.012593729547898768,0.07255692166449552,-0.026863493493688693,0.4,0.058950615998664156,5.0,,,1,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_quadrature,WAVE,-1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,0.028250758105204176,0.002341056938936402,0.509089692086184,0.9982242650502056,0.4227100580213916,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_quadrature,WAVE,0,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,0.03754987692403708,0.0023411407591998937,0.6436716147504616,0.9984541737171203,0.5622211055575477,-0.05968629710116039,0.13101960932903056,0.007884326597460689,0.3379547846516895,0.0,0.446,0.429,0.418,0.008205976654711466,0.14001789940617923,0.1438471438631545,-0.1753713872133762,0.057838999787892115,0.8,0.13181192275146777,5.0,0.001603229261125353,0.42,0,OK,bd64cffe73
nyc_ems,PRE2014,ALTMEN,WAVE_quadrature,WAVE,1,56.39813800657174,3652,0.42309043167739413,0.4242233717652292,494,3158,-0.017543004850314077,0.0023409897679344373,0.4873186576474138,0.996559298397828,-0.2616037398791793,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
